metric,condition_a,condition_b,mean_a,mean_b,diff,p_value,n_seeds,significant_0.05
f1,gears_real,grnboost2_real,0.4056321515102838,0.0982693342693314,0.3073628172409524,0.06519348065193481,5,False
f1,gears_real,overlay_resampled_real,0.4056321515102838,0.4223097231434273,-0.016677571633143484,0.06519348065193481,5,False
f1,geneformer_real,grnboost2_real,0.42534127643893865,0.0982693342693314,0.3270719421696072,0.06519348065193481,5,False
f1,geneformer_real,overlay_resampled_real,0.42534127643893865,0.4223097231434273,0.0030315532955113578,0.6817318268173183,5,False
f1,grnboost2_real,overlay_resampled_real,0.09833968704723196,0.4286785885281271,-0.3303389014808952,9.999000099990002e-05,20,True
precision_at_100,cpa_real,elastic_net,0.36,0.442,-0.08200000000000002,0.12448755124487551,5,False
precision_at_100,cpa_real,gears_real,0.36,0.41999999999999993,-0.05999999999999994,0.31496850314968505,5,False
precision_at_100,cpa_real,geneformer_real,0.36,0.39999999999999997,-0.03999999999999998,0.18718128187181282,5,False
precision_at_100,cpa_real,grnboost2_real,0.36,0.088,0.272,0.06519348065193481,5,False
precision_at_100,cpa_real,overlay_resampled_real,0.36,0.42800000000000005,-0.06800000000000006,0.18618138186181382,5,False
precision_at_100,elastic_net,gears_real,0.442,0.41999999999999993,0.022000000000000075,0.69003099690031,5,False
precision_at_100,elastic_net,geneformer_real,0.442,0.39999999999999997,0.04200000000000004,0.06519348065193481,5,False
precision_at_100,elastic_net,grnboost2_real,0.4125,0.079,0.33349999999999996,9.999000099990002e-05,20,True
precision_at_100,elastic_net,overlay_resampled_real,0.4125,0.42800000000000005,-0.01550000000000007,0.31416858314168583,20,False
precision_at_100,gears_real,geneformer_real,0.41999999999999993,0.39999999999999997,0.019999999999999962,0.7526247375262474,5,False
precision_at_100,gears_real,grnboost2_real,0.41999999999999993,0.088,0.33199999999999996,0.06519348065193481,5,False
precision_at_100,gears_real,overlay_resampled_real,0.41999999999999993,0.42800000000000005,-0.008000000000000118,0.7469253074692531,5,False
precision_at_100,geneformer_real,grnboost2_real,0.39999999999999997,0.088,0.31199999999999994,0.06519348065193481,5,False
precision_at_100,geneformer_real,overlay_resampled_real,0.39999999999999997,0.42800000000000005,-0.02800000000000008,0.3735626437356264,5,False
precision_at_100,grnboost2_real,overlay_resampled_real,0.079,0.42800000000000005,-0.34900000000000003,9.999000099990002e-05,20,True
shd,cpa_real,elastic_net,1093.8,1075.8,18.0,0.25677432256774324,5,False
shd,cpa_real,gears_real,1093.8,1098.8,-5.0,0.6963303669633036,5,False
shd,cpa_real,geneformer_real,1093.8,1070.6,23.200000000000045,0.1262873712628737,5,False
shd,cpa_real,grnboost2_real,1093.8,3255.2,-2161.3999999999996,0.06519348065193481,5,False
shd,cpa_real,overlay_resampled_real,1093.8,1075.6,18.200000000000045,0.12448755124487551,5,False
shd,elastic_net,gears_real,1075.8,1098.8,-23.0,0.1262873712628737,5,False
shd,elastic_net,geneformer_real,1075.8,1070.6,5.2000000000000455,0.4971502849715029,5,False
shd,elastic_net,grnboost2_real,1082.15,3118.75,-2036.6,9.999000099990002e-05,20,True
shd,elastic_net,overlay_resampled_real,1082.15,1062.25,19.90000000000009,0.0027997200279972004,20,True
shd,gears_real,geneformer_real,1098.8,1070.6,28.200000000000045,0.06519348065193481,5,False
shd,gears_real,grnboost2_real,1098.8,3255.2,-2156.3999999999996,0.06519348065193481,5,False
shd,gears_real,overlay_resampled_real,1098.8,1075.6,23.200000000000045,0.06519348065193481,5,False
shd,geneformer_real,grnboost2_real,1070.6,3255.2,-2184.6,0.06519348065193481,5,False
shd,geneformer_real,overlay_resampled_real,1070.6,1075.6,-5.0,0.619038096190381,5,False
shd,grnboost2_real,overlay_resampled_real,3118.75,1062.25,2056.5,9.999000099990002e-05,20,True
