gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score
SMC6,4.097123161689526e-24,8.645117522839465e-05,0.002910947883001895,11,5,0.21521151494473562
POLR2E,4.0971231616895274e-24,2.5822555135787963e-05,0.0027580952115556718,11,5,0.2135376047903821
TMA16,5.5421625475107155e-34,0.0,0.0021802503234142753,11,1,0.20720954773551112
SRFBP1,0.03531501635418381,0.0,0.017615753839908644,0,10,0.20712926970763723
RPL35,5.7253745325524036e-37,0.0,0.0020702705312962122,11,0,0.2060051442464633
GTF2H3,6.64416806053984e-22,0.00011984727227608298,0.0032792580786418528,10,6,0.20257826274574187
MRPS22,6.644168060539846e-22,8.161699953994761e-05,0.003135866972621083,10,6,0.20100796746636498
MRPL38,4.097123161689526e-24,4.5249898683734526e-05,0.002867400512275392,10,5,0.19806795516678213
IARS2,2.1075736428444018e-26,3.354716503795231e-05,0.0026829157609073256,10,4,0.1960476378526223
CASP8AP2,0.0005590651015222502,0.0,0.017868321877728053,0,6,0.19590345815650695
IFITM2,8.761430616741536e-06,0.0,0.017782555443673215,0,8,0.19474268242381576
CDC20,1.2106909110941789e-15,0.0001656410157247678,0.0038246656405654285,9,8,0.19188442761369667
HSPE1,1.3247364889462839e-21,0.00024473014422763165,0.003760564897069187,9,7,0.191182451754035
VPS72,1.2710867749949554e-07,0.00015227653418608191,0.015852156653781875,1,8,0.19026581649902313
CENPH,9.244885272808314e-20,0.00011739997083380668,0.003441637775911342,9,7,0.18768983797402222
NUTF2,1.1266543606552206e-17,3.760585837637764e-05,0.003306615788657494,9,7,0.1862111940393971
ORC6,9.244885264153075e-20,6.332770151865629e-05,0.0030776255884310175,9,6,0.18370349157152496
TRIAP1,9.244477668065768e-20,1.5751355784856622e-05,0.003021294038815048,9,6,0.18308659719852857
MRPL21,6.6441680605398555e-22,1.751381567126961e-05,0.0029712053161811427,9,6,0.1825380688630916
TRMT6,8.701275554291265e-06,0.00010151768945738795,0.014980708312033651,1,9,0.18072592025798556
KIF4A,6.603616609916207e-22,6.556350777456305e-05,0.0027334059620978896,9,4,0.17993389616704092
NOL11,1.2218650139791962e-15,0.00013220463387967574,0.004190551910431291,8,9,0.17922463067768085
RPUSD4,0.000585162149927654,0.00010659357393025735,0.01477120268892458,1,12,0.17866366211315532
USP8,0.017807162003101593,0.0,0.015560353986278868,0,9,0.1775721652071985
MRPL4,1.2218656702228326e-15,0.0001225564249014835,0.0040241563877574105,8,9,0.17740241093884718
NAT10,8.682074738802894e-29,1.38478991075306e-05,0.0024514070144499088,9,3,0.1768456877797179
ELAC2,2.6851777542689396e-31,1.8319511619344114e-05,0.0023487177405099907,9,2,0.17572112373536822
SDHA,1.1267203926235103e-17,9.649216098127319e-05,0.0035972687659875237,8,8,0.17272750720253985
HMGCS1,0.017521060036359577,0.0002030353789147759,0.013403732431266264,1,7,0.1705062031005607
GUK1,9.244885272808314e-20,6.311620633228673e-05,0.003251796389383915,8,7,0.1689441927614254
MRTO4,6.644168060539853e-22,4.398092756551718e-05,0.0031111107182779678,8,6,0.16740352506351647
NOL12,1.0612425575096741e-11,0.0002170645596106233,0.005688928831605631,6,10,0.16230022445255338
PPP1R7,2.1075736428444018e-26,4.399099876486811e-05,0.0026056460771564922,8,4,0.16186811382448185
URM1,2.1075736428444018e-26,2.54801343578563e-05,0.0025920164518570994,8,4,0.1617188539654763
METAP2,2.2350834883416496e-17,0.0003555536218852802,0.00539012827780993,6,8,0.1590280194132449
RPL35A,5.5421625475107155e-34,1.1420740063956144e-05,0.002230241138013395,8,1,0.1577570038668965
CTU2,4.509518693715221e-06,0.00010433762527564871,0.011340988271899093,2,10,0.15753183596781528
CYFIP1,5.5421625475107155e-34,0.0,0.0021737809238779183,8,1,0.15713870047144948
MYCBP,1.2217738857869083e-15,3.901582628550803e-05,0.003618880767157038,7,8,0.15629751646617482
MRPL9,9.244885272808316e-20,5.865466501982414e-05,0.003498338857521572,7,7,0.1549774458082339
POLR2B,1.1267199850187681e-17,7.084081623445106e-05,0.00349126662338679,7,7,0.15489999682144048
WDR18,1.0612425575096736e-11,8.963367422328898e-05,0.004748125327533453,6,10,0.15199735879886522
SUPT5H,1.0379737375763556e-11,8.750865116024244e-05,0.004734190059849076,6,10,0.1518447518089178
CIAO1,2.0642431093947956e-11,0.00016369727425003807,0.010654485428179853,2,8,0.15001203564300486
FIP1L1,1.1937618485665452e-13,0.00011278736153108011,0.004510062761817502,6,9,0.14939030363261477
CPSF6,1.2878776394730343e-07,0.00022597757103619748,0.008982060211479227,3,11,0.14836380076040154
ABT1,1.1937627598077086e-13,0.00010602958676660518,0.004396500734521437,6,9,0.14814667060454084
DDX41,4.0971231616895274e-24,3.0455306837216384e-05,0.0028192181975090903,7,5,0.1475403041601987
XPO5,1.0613624999468297e-11,0.00026380499579829557,0.005709087468049185,5,9,0.14585431772368562
RPUSD3,1.2218650099031498e-15,0.00010574759318477912,0.004118137210489009,6,8,0.14509827422992655
ZNRD1,1.2218656702228322e-15,0.00010538503000814557,0.003979441808860936,6,9,0.14357940224063948
MED1,1.2217745460856058e-15,0.00010442826606980711,0.003896101078471382,6,8,0.14266672669790686
PSMA1,1.1266543606552221e-17,6.269321595954761e-05,0.003418453731446044,6,7,0.13743594638624518
SCFD1,6.442017248585403e-08,0.0002239230463686075,0.007943313024903217,3,12,0.1369883147596837
XRCC2,1.0613625089932113e-11,0.0003234466383545111,0.004898923993126421,5,9,0.13698210859231524
BRCA1,6.6441680605343185e-22,0.00014931560157690812,0.003237101321314542,6,5,0.13544993176207548
USP5,0.0002904860563098901,0.00018611576400521124,0.010818265760572907,1,11,0.13525589050183562
RNASEH2C,1.1937618419633498e-13,0.00010179968303921402,0.004701488372878926,5,9,0.1348199645677315
CCDC174,0.0008663808971998523,3.5349909721769015e-05,0.010673720490597243,1,9,0.13390479404902778
SLU7,1.1696616136248763e-13,1.1632235250325701e-05,0.003008427890177699,6,4,0.1329456982751371
SENP6,6.525411771503492e-08,0.00010739926987833186,0.006017165447118685,4,10,0.13256148068858067
SURF6,4.1048641579352526e-11,0.00022080097456981878,0.00889437398926351,2,9,0.13073681865619083
MARS,1.3329434975238983e-05,0.00011642306449676633,0.00875362878248356,2,9,0.12920086499489813
NELFE,6.52647277195029e-08,0.0002674306275646309,0.007119466778838002,3,12,0.12796626410202855
MCM7,1.193651012256971e-13,2.9710038085247465e-05,0.004058277861842161,5,9,0.12777607978885047
GPS1,2.3992139039464075e-15,0.00019481728024441593,0.004049222879428618,5,7,0.12767691745905077
KIN,1.2629536160667445e-07,7.613826709304096e-05,0.010054263803316444,1,9,0.1267723121037879
POLR3E,1.6797821027513967e-09,0.0,0.011552460069076832,0,7,0.12651254399278317
RPAIN,1.1267203926235109e-17,7.472829918391056e-05,0.003923096381243545,5,8,0.12629568922111664
CBX1,0.00029048688045894757,5.0154572767638095e-05,0.009764948093064206,1,10,0.12372086744985107
ASF1B,0.0008619383118223913,4.677064978572516e-05,0.009692829552017952,1,8,0.12316113705725518
USP7,1.1698823880472611e-13,0.0002453344161886875,0.00664903948859291,3,8,0.12281452532922221
ROMO1,1.1267203926235109e-17,3.302346267170387e-05,0.003439496526037141,5,8,0.12099972219211588
ARMC6,8.55284614117087e-10,4.3145018019389875e-05,0.004946481021220227,4,9,0.12083624567385823
RPP38,6.6441680605398555e-22,0.00011251543914860497,0.0033724610654598504,5,6,0.12026560785116
NELFA,2.087043206625899e-11,0.00017850193729590714,0.0061522407239814735,3,8,0.11737401527723473
NUP54,8.656595090058951e-10,0.00015370664449391416,0.0061428749730673545,3,10,0.11727145001994
MCM10,1.1267203905245933e-17,3.5349909721769015e-05,0.0030898189498020675,5,5,0.11717035604449483
CD2BP2,1.6692902417031967e-09,8.45980745478233e-05,0.009052114022059783,1,8,0.11579758495055548
PAF1,4.097123161689527e-24,5.202781584691132e-05,0.0028824779915870053,5,5,0.11489973733639011
CPSF4,0.0002904860563086793,0.0,0.010398044187825055,0,11,0.11398732089787825
DPH3,1.117607573394856e-17,0.00010997749691217027,0.004303126796731937,4,8,0.11379078672533663
RNF8,4.097123161689527e-24,2.0726528264216707e-05,0.0027756058254692945,5,5,0.11372936587745797
MED17,4.381545523791239e-06,0.0,0.0103087562160836,0,6,0.11289433910088476
MED4,1.2217745460856058e-15,5.593544119507269e-05,0.003896101078471382,4,8,0.10933339336457354
MEPCE,9.015626868675312e-06,5.9923636138041497e-05,0.008437741457320146,1,12,0.10907313715125506
RBBP5,4.4459642976711125e-06,7.095159942731133e-05,0.0069084232526934386,2,10,0.10899019494818235
EXOSC1,8.55520911761634e-10,0.00019880547518738473,0.006812802850620161,2,10,0.10794125360064352
WDR4,8.657776634155466e-10,5.569373241065034e-05,0.005203825121273086,3,10,0.10698778884815387
DDX19A,8.656595201799894e-10,6.792016842268098e-05,0.006128597522221408,2,9,0.10044842906961451
MED21,6.356454544790299e-08,6.852444038373687e-05,0.007609286376449225,1,9,0.0999970103485034
INCENP,6.439918878610481e-08,0.00014321245477024372,0.005975761696205411,2,8,0.098774728968552
RPE,4.0971231616895274e-24,1.438167267312996e-05,0.0028192181975090903,4,5,0.0975403041601987
SLC1A5,8.657764529999874e-10,9.77107761027359e-05,0.005777831095556662,2,9,0.09660713877460131
DYNC1H1,2.234951016791698e-17,0.0001628512935045598,0.004235659762484548,3,6,0.09638527949643254
GATA1,1.1697706338935383e-13,8.248312268412771e-05,0.005698416650612685,2,7,0.09573746016313983
ZC3H8,8.658934077138723e-10,5.1635039072225e-05,0.0056834745906838595,2,11,0.09557382800460107
COG2,1.842332886495768e-19,0.00018357782176877654,0.004135006000472599,3,6,0.09528300661685804
