gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score,k562_chronos,pan_mean_chronos,selective_score,is_selectively_essential,is_essential
DDX41,4.0971231616895274e-24,3.0455306837216384e-05,0.0028192181975090903,7,5,0.1475403041601987,6.556735947914529,6.502576049121954,0.05415989879257488,False,False
XPO5,1.0613624999468297e-11,0.00026380499579829557,0.005709087468049185,5,9,0.14585431772368562,6.516172775525088,4.898122314767513,1.6180504607575745,False,False
RPUSD3,1.2218650099031498e-15,0.00010574759318477912,0.004118137210489009,6,8,0.14509827422992655,5.963705306579481,4.967412069154702,0.996293237424779,False,False
ZNRD1,1.2218656702228322e-15,0.00010538503000814557,0.003979441808860936,6,9,0.14357940224063948,,,,False,False
MED1,1.2217745460856058e-15,0.00010442826606980711,0.003896101078471382,6,8,0.14266672669790686,4.578938713093386,4.6019453393134,-0.023006626220014148,False,False
PSMA1,1.1266543606552221e-17,6.269321595954761e-05,0.003418453731446044,6,7,0.13743594638624518,8.06544306293743,7.28438156946649,0.7810614934709399,False,False
SCFD1,6.442017248585403e-08,0.0002239230463686075,0.007943313024903217,3,12,0.1369883147596837,5.610581958492531,5.335665659140409,0.2749162993521228,False,False
XRCC2,1.0613625089932113e-11,0.0003234466383545111,0.004898923993126421,5,9,0.13698210859231524,4.679761573516853,3.066720145789893,1.6130414277269596,False,False
BRCA1,6.6441680605343185e-22,0.00014931560157690812,0.003237101321314542,6,5,0.13544993176207548,6.085976949073639,4.333658686318418,1.752318262755221,False,False
USP5,0.0002904860563098901,0.00018611576400521124,0.010818265760572907,1,11,0.13525589050183562,5.207892851641333,5.698391921550878,-0.4904990699095455,True,False
RNASEH2C,1.1937618419633498e-13,0.00010179968303921402,0.004701488372878926,5,9,0.1348199645677315,4.507794640198696,4.758758006532978,-0.2509633663342816,True,False
CCDC174,0.0008663808971998523,3.5349909721769015e-05,0.010673720490597243,1,9,0.13390479404902778,4.149747119504682,3.344705219842259,0.8050418996624233,False,False
SLU7,1.1696616136248763e-13,1.1632235250325701e-05,0.003008427890177699,6,4,0.1329456982751371,5.51443791382931,5.313396210793183,0.20104170303612712,False,False
SENP6,6.525411771503492e-08,0.00010739926987833186,0.006017165447118685,4,10,0.13256148068858067,5.299391206126829,4.949298956001559,0.3500922501252708,False,False
SURF6,4.1048641579352526e-11,0.00022080097456981878,0.00889437398926351,2,9,0.13073681865619083,4.351204277257994,4.205889813641178,0.145314463616816,False,False
MARS,1.3329434975238983e-05,0.00011642306449676633,0.00875362878248356,2,9,0.12920086499489813,,,,False,False
NELFE,6.52647277195029e-08,0.0002674306275646309,0.007119466778838002,3,12,0.12796626410202855,6.9576824861651225,6.475483986789688,0.4821984993754347,False,False
MCM7,1.193651012256971e-13,2.9710038085247465e-05,0.004058277861842161,5,9,0.12777607978885047,8.548937473526237,7.309908584363513,1.2390288891627241,False,False
GPS1,2.3992139039464075e-15,0.00019481728024441593,0.004049222879428618,5,7,0.12767691745905077,5.923149180472309,6.225353041965071,-0.302203861492762,True,False
KIN,1.2629536160667445e-07,7.613826709304096e-05,0.010054263803316444,1,9,0.1267723121037879,3.1667154449664223,2.953290212673543,0.21342523229287913,False,False
POLR3E,1.6797821027513967e-09,0.0,0.011552460069076832,0,7,0.12651254399278317,5.699607153893178,4.693164411866908,1.0064427420262696,False,False
RPAIN,1.1267203926235109e-17,7.472829918391056e-05,0.003923096381243545,5,8,0.12629568922111664,5.37364821133469,5.422500374122008,-0.048852162787317965,False,False
CBX1,0.00029048688045894757,5.0154572767638095e-05,0.009764948093064206,1,10,0.12372086744985107,6.054197294388812,6.465890777808863,-0.4116934834200503,True,False
ASF1B,0.0008619383118223913,4.677064978572516e-05,0.009692829552017952,1,8,0.12316113705725518,6.555662799224037,5.335697343448985,1.2199654557750517,False,False
USP7,1.1698823880472611e-13,0.0002453344161886875,0.00664903948859291,3,8,0.12281452532922221,5.412442824775613,5.451887120946196,-0.03944429617058365,False,False
ROMO1,1.1267203926235109e-17,3.302346267170387e-05,0.003439496526037141,5,8,0.12099972219211588,7.619119511453218,8.193761299662492,-0.5746417882092745,True,False
ARMC6,8.55284614117087e-10,4.3145018019389875e-05,0.004946481021220227,4,9,0.12083624567385823,4.550900664647523,4.7275256671257075,-0.17662500247818436,False,False
RPP38,6.6441680605398555e-22,0.00011251543914860497,0.0033724610654598504,5,6,0.12026560785116,4.070389327891398,4.139529645830567,-0.0691403179391692,False,False
NELFA,2.087043206625899e-11,0.00017850193729590714,0.0061522407239814735,3,8,0.11737401527723473,5.407012773516011,4.498445029827609,0.9085677436884021,False,False
NUP54,8.656595090058951e-10,0.00015370664449391416,0.0061428749730673545,3,10,0.11727145001994,5.402244655254077,4.863651121353002,0.538593533901075,False,False
