gene,k562_chronos,pan_mean_chronos,selective_score
GCFC2,3.507160349117523,3.558008332434056,-0.05084798331653273
WDR54,3.7147950111181625,4.9128353456336065,-1.198040334515444
CROT,2.9981955031532523,3.108583195379724,-0.11038769222647149
ABCB4,1.280956313831056,0.546415118804617,0.734541195026439
KMT2E,4.919340082442012,4.377368761304788,0.5419713211372246
RHBDD2,5.777419715515831,5.313294337510607,0.4641253780052237
SOX8,0.0565835283663675,0.5884980845666559,-0.5319145562002884
IBTK,4.213347281733441,4.233499958807934,-0.020152677074492864
ZNF195,5.288727679514566,4.190164193687216,1.0985634858273503
MYCBP2,4.0574502721839,4.805788714126843,-0.7483384419429431
FBXL3,2.8439838440483265,3.939447612269016,-1.0954637682206894
ITGAL,0.0840642647884745,0.8581764759461822,-0.7741122111577077
PDK2,1.0908534304511135,3.7974548434849176,-2.706601413033804
ITGA3,0.4222330006830478,5.680791684925568,-5.25855868424252
ZFX,2.5360529002402097,3.209284825895216,-0.6732319256550063
LAMP2,6.019034669364337,6.124630897465238,-0.10559622810090108
ITGA2B,2.8135246892978105,0.8349921070385148,1.9785325822592958
ASB4,0.01435529297707,0.2831120453882469,-0.2687567524111769
GDE1,4.587364990936461,5.345678321132997,-0.7583133301965361
REX1BD,5.675533686225485,4.79644826317328,0.8790854230522047
CRLF1,1.7398481026993275,2.7296199681115643,-0.9897718654122367
OSBPL7,3.363171077119244,2.8074729148067035,0.5556981623125403
TMEM98,6.073606040574941,3.357719671264933,2.7158863693100077
YBX2,0.1763227726404629,1.4625141819815874,-1.2861914093411246
KRT33A,0.0,0.03673363247848568,-0.03673363247848568
MAP3K14,1.903038270112912,3.1588085558806798,-1.2557702857677677
ABCC8,0.0976107966264223,0.46482399791316803,-0.3672132012867457
CACNG3,0.01435529297707,0.0257357637588312,-0.011380470781761201
TMEM132A,0.3334237337251918,4.537448045484443,-4.204024311759252
AP2B1,7.127323743867532,6.17792804460861,0.9493956992589219
TAC1,1.6415460290875237,0.16825941970115135,1.4732866093863723
ZNF263,4.489286022625876,4.624095280583062,-0.134809257957186
CX3CL1,0.0,1.0988314515962903,-1.0988314515962903
SPATA20,2.788685710613534,4.756288246315666,-1.9676025357021323
CACNA1G,0.0,0.42774872160031935,-0.42774872160031935
TNFRSF12A,4.018812185742817,6.158762361213064,-2.139950175470247
DLX6,0.0426443374084937,0.9871542476013758,-0.9445099101928821
MAP3K9,0.4541758931858021,2.063605904666157,-1.609430011480355
RALA,5.767125077269071,4.9910324738714875,0.7760926033975837
BAIAP2L1,4.192194165283345,3.761738475804196,0.43045568947914914
KDM7A,3.187451054027326,1.7888584913438959,1.3985925626834301
ETV1,4.020591094773247,2.162811157987382,1.8577799367858647
AGK,5.617944917420585,4.638754639200065,0.9791902782205204
ALDH3B1,0.933572638261024,3.3096818979201372,-2.3761092596591133
TTC22,0.1110313123887439,0.8866564017518034,-0.7756250893630595
PHTF2,4.574101508089389,4.077856072609117,0.49624543548027233
CCL26,1.3391373849195856,0.9072196096652171,0.4319177752543685
FARP2,3.496973580998276,3.9124793795716934,-0.41550579857341763
USH1C,0.0,0.8802070462188668,-0.8802070462188668
GGCT,7.198985183575034,6.373568288056139,0.8254168955188952
