perturbation,n_real_cells,real_deg_count,gears_delta_var_ratio,gears_deg_count,cpa_delta_var_ratio,cpa_deg_count,geneformer_delta_var_ratio,geneformer_deg_count
MRTO4,83,7,0.8186030643160298,19,0.2653406880628489,0,0.03120009898901908,1
MTOR,101,44,0.03152858143194702,1,0.4203948343610058,0,0.0003582126465975389,1
MYCBP,208,2,0.4705502015159405,0,3.716458803943508,0,0.15014411083415566,1
NAT10,30,40,0.22684049422641434,23,0.020549458342999816,0,0.00027107557926472756,1
NDUFA2,187,12,0.7973701248612614,30,0.5429485702871434,0,0.015430718269726867,1
NELFA,89,34,0.2605955726484247,15,0.05849268416645444,0,0.0003664809370567572,1
NELFE,74,17,0.09910329868263026,3,0.10046978630988262,0,0.0013138968143134927,1
NEPRO,42,39,0.08368855752560284,11,0.042877747538445594,0,0.00014948161006764357,1
NFRKB,228,7,0.5356553492389293,27,0.17339320442684694,0,0.00026195810555199695,1
NFS1,82,12,0.1114497090629539,1,0.5160740370214381,0,0.0006667293568428388,1
NOL11,271,10,0.036286967626135286,1,0.15027279338613483,0,0.002218220988079748,1
NOL12,93,13,0.13155569828884786,0,0.09122977518891948,0,0.0015497894773548544,1
NUP214,132,1,0.4433176688305622,1,0.35762123649658745,0,0.21432198527224805,1
NUP54,291,14,0.01741412907545449,3,0.06922532124559448,0,0.0009500827763074862,1
NUTF2,67,21,0.05002203678346329,2,0.02544861361072969,0,0.0024126361330093844,1
ORC6,81,7,0.6343270290688133,1,0.390293696355912,0,0.045469354794299685,1
PAF1,238,170,0.6396757844112898,90,0.01514871609497812,0,5.17655721700895e-05,1
PALB2,97,6,2.036440813671034,13,0.9058216019342988,0,0.00256691003586561,1
PDCD6IP,257,1,10.989584361123018,31,0.7919556553105989,0,0.09348988669051767,1
POLA2,234,16,0.26871789677724484,9,0.14464649382036399,0,0.0001715585961744037,1
POLR1C,187,2,0.3385540493970165,22,0.11945032943276668,0,0.0004390873449774411,1
POLR2B,320,89,0.008413374013034196,7,0.05913671998246181,0,0.0010727756371802638,1
POLR2E,225,1,0.056190474402065184,0,0.1660872447248334,0,0.026203952101449608,1
POLR3E,221,3,0.37545430339883173,2,2.6872905316075633,0,0.006391628914293143,1
PPP1CB,160,1,1.9640674865057532,2,6.507328787586619,0,0.07711982840679978,1
PPP1R7,63,7,0.2752990671497445,3,0.7244203554440081,0,0.026418408275149158,1
PREB,40,17,3.251152870757454,24,0.7821784180878346,0,0.0021625518654639292,1
PSMA1,170,5,0.008861183822671242,1,0.11874826511909876,0,0.014759611443115248,1
PSMA5,25,101,0.033558852270494204,16,0.024047127720265224,0,0.0035861744621491836,1
PSMB1,143,8,0.0816304037342976,9,0.06456986127675626,0,0.07799128016626167,1
PSMB2,53,33,0.011146915689163372,0,0.03185397129192325,0,0.053735880513100895,1
PSMC3,41,58,0.3072206331615504,35,0.022220379547008978,0,0.006965081952560542,1
PSMC4,242,81,0.18181634375420438,36,0.012275260118930502,0,0.001239998907744778,1
PSMG1,109,5,5.060923175277417,3,1.605287339252468,0,0.4901745822755714,1
PTCD3,65,8,0.7666453086708185,1,2.685622063067058,0,0.036881520444527006,1
PTMA,152,1,0.024209352574050963,2,0.015885132536890587,0,1.1023829776350644,1
RAB4A,303,1,2.9392292271373757,1,9.736026512657718,0,0.11750284608917831,1
RAD9A,41,11,0.17040513926580203,3,0.19860993269922458,0,0.0002491027720205369,1
RBBP5,23,43,1.344265058272831,27,0.13511288168957458,0,0.0005289605954689888,1
RBX1,57,22,0.6232343671034187,17,0.44956100583339215,0,0.05229688771250324,1
RNASEH2C,102,14,0.5131486086929312,14,0.14915288910321828,0,0.006502809830485068,1
RNF8,176,5,2.807720581164027,4,1.8798411166745757,0,0.009414269198763286,1
RNPS1,131,5,1.5087453466480543,29,0.560035939851514,0,0.04233483639338861,1
ROMO1,87,27,1.0938379360984394,38,0.1085488399460966,0,0.0031766673561342204,1
RPAIN,108,6,0.027261039961279623,4,0.0996885316860351,0,0.0050477312556136715,1
RPAP1,91,78,0.01908662287684049,0,0.06736372050283225,0,7.280542644930942e-05,1
RPE,118,3,8.411836506011475,10,10.185541856629179,0,0.030160909141682922,1
RPL10A,257,15,0.11992287626993506,18,0.17567575580912284,0,0.8312852854542493,1
RPL18A,65,21,0.013562851752834643,8,0.03655951083055612,0,1.7572349580449076,1
RPL35,46,44,0.19711386622708207,16,0.12968734683038857,0,0.7592135659514871,1
RPL35A,137,22,0.15044225609827125,8,0.4320159543479167,0,0.7748852733078025,1
RPL39,37,31,0.2712926923886463,15,0.03946612848193111,0,1.2133980075415454,2
RPL7A,10,98,0.09299430379707,23,0.053821470166711884,0,1.08213048878276,1
RPP38,56,11,0.04787030011594059,5,0.11567789535602362,0,0.0005697537987131049,1
RPS3,276,34,0.11744943452010417,37,0.010508641930009392,0,0.9841366991292088,1
RPUSD3,164,2,1.2635873350291638,4,2.4634890983489712,0,0.004159222991849915,1
RPUSD4,126,6,1.4592912482168803,2,5.299495235055708,0,0.004347491213052026,1
RRP12,204,18,0.03956905044505848,8,0.016899757871764304,0,8.069244341346101e-05,1
RSL1D1,211,1,1.6250439790740359,6,1.9007339734523918,0,0.8444851767951939,1
RSL24D1,179,22,0.17872884777684764,2,0.6563710439864046,0,0.04475213504968568,1
SARS2,163,4,0.05117527335621268,1,0.3985980642283283,0,0.0011007393495262082,1
SART1,306,25,0.2411091475687964,2,0.23192858833458213,0,0.0005553077624545612,1
SBDS,95,4,1.5349947951394916,1,1.3130102758569562,0,0.06613875596303699,1
SCFD1,152,4,1.6930514606406846,25,0.1530287958482777,0,0.008821102269931033,1
SDHA,62,13,0.5933376039344382,2,1.1575654814413636,0,0.012318384602925392,1
SEC61G,98,125,0.072724153019834,7,0.01881378253400227,0,0.008916082755674546,1
SENP6,94,9,0.9232376729865241,4,0.3925703181873052,0,0.009205183772071064,1
SKA3,116,5,0.23603024582473633,1,0.2501522575848223,0,0.0031048456280301532,1
SLC1A5,490,1,24.06483950830473,16,17.382851660725024,0,0.32161110347517985,1
SLU7,225,92,0.3478531901295934,26,0.07017835570744081,0,0.0002671836988332806,1
